Wall time,Step,Value
1701784037.9650378,327000,-359.1015319824219
1701784044.1470387,328000,-956.6624145507812
1701784044.9540367,329000,-956.6624145507812
1701784045.9800375,330000,-956.6624145507812
1701784046.941037,331000,-956.6624145507812
1701784047.9680388,332000,-956.6624145507812
1701784048.9500387,333000,-956.6624145507812
1701784049.8020394,334000,-956.6624145507812
1701784050.8970392,335000,-956.6624145507812
1701784051.85904,336000,-956.6624145507812
1701784053.0180387,337000,-956.6624145507812
1701784059.751039,338000,-962.2189331054688
1701784060.6300375,339000,-962.2189331054688
1701784061.9100385,340000,-962.2189331054688
1701784062.853039,341000,-962.2189331054688
1701784064.1000388,342000,-962.2189331054688
1701784065.0050397,343000,-962.2189331054688
1701784066.1340396,344000,-962.2189331054688
1701784067.0610373,345000,-962.2189331054688
1701784067.8690395,346000,-962.2189331054688
1701784068.7790382,347000,-962.2189331054688
1701784069.8200376,348000,-962.2189331054688
1701784076.3090382,349000,-957.7736206054688
1701784077.2230372,350000,-957.7736206054688
1701784078.036038,351000,-957.7736206054688
1701784078.9240372,352000,-957.7736206054688
1701784080.00304,353000,-957.7736206054688
1701784080.9330392,354000,-957.7736206054688
1701784081.9036396,355000,-957.7736206054688
1701784082.7646408,356000,-957.7736206054688
1701784083.8596396,357000,-957.7736206054688
1701784084.845641,358000,-957.7736206054688
1701784091.9596395,359000,-864.406982421875
1701784093.3566394,360000,-864.406982421875
1701784094.7376394,361000,-864.406982421875
1701784096.203641,362000,-864.406982421875
1701784097.4806397,363000,-864.406982421875
1701784098.8306396,364000,-864.406982421875
1701784100.1976402,365000,-864.406982421875
1701784101.5517275,366000,-864.406982421875
1701784102.847715,367000,-864.406982421875
1701784104.2397153,368000,-864.406982421875
1701784111.1697152,369000,-843.2931518554688
1701784112.5897152,370000,-843.2931518554688
1701784114.0667157,371000,-843.2931518554688
1701784115.5827157,372000,-843.2931518554688
1701784116.956728,373000,-843.2931518554688
1701784118.6647274,374000,-843.2931518554688
1701784120.2697272,375000,-843.2931518554688
1701784121.898448,376000,-843.2931518554688
1701784123.3414476,377000,-843.2931518554688
1701784124.7554479,378000,-843.2931518554688
1701784133.2054465,379000,-473.7192077636719
1701784136.0914457,380000,-473.7192077636719
1701784138.823447,381000,-473.7192077636719
1701784141.590446,382000,-473.7192077636719
1701784144.5214474,383000,-473.7192077636719
1701784147.4944649,384000,-473.7192077636719
1701784150.3844624,385000,-473.7192077636719
1701784153.0793746,386000,-473.7192077636719
1701784155.8373766,387000,-473.7192077636719
1701784158.6113942,388000,-473.7192077636719
1701784161.27039,389000,-473.7192077636719
1701784167.600392,390000,-902.2047119140625
1701784168.6253898,391000,-902.2047119140625
1701784169.6943913,392000,-902.2047119140625
1701784170.8943539,393000,-902.2047119140625
1701784171.864352,394000,-902.2047119140625
1701784174.1113534,396000,-902.2047119140625
1701784175.2933512,397000,-902.2047119140625
1701784176.3843527,398000,-902.2047119140625
1701784177.731355,399000,-902.2047119140625
1701784184.1993527,400000,-934.4351806640625
1701784185.198355,401000,-934.4351806640625
1701784186.0763528,402000,-934.4351806640625
1701784187.1303687,403000,-934.4351806640625
1701784187.9853678,404000,-934.4351806640625
1701784189.10937,405000,-934.4351806640625
1701784190.1843677,406000,-934.4351806640625
1701784191.113368,407000,-934.4351806640625
1701784192.0873678,408000,-934.4351806640625
1701784193.1043713,409000,-934.4351806640625
1701784202.0233686,410000,-405.9156494140625
1701784205.248367,411000,-405.9156494140625
1701784208.415368,412000,-405.9156494140625
1701784211.5193803,413000,-405.9156494140625
1701784214.9173799,414000,-405.9156494140625
1701784218.2823799,415000,-405.9156494140625
1701784221.7043803,416000,-405.9156494140625
1701784225.6653795,417000,-405.9156494140625
1701784229.0753803,418000,-405.9156494140625
1701784232.757378,419000,-405.9156494140625
1701784242.879381,420000,-446.9002685546875
1701784246.2153802,421000,-446.9002685546875
1701784250.11938,422000,-446.9002685546875
1701784253.3903804,423000,-446.9002685546875
1701784257.2863798,424000,-446.9002685546875
1701784261.1773813,425000,-446.9002685546875
1701784265.7433789,426000,-446.9002685546875
1701784269.6863801,427000,-446.9002685546875
1701784273.16238,428000,-446.9002685546875
1701784276.8653798,429000,-446.9002685546875
1701784280.477383,430000,-446.9002685546875
1701784289.92138,431000,-204.29212951660156
1701784293.8023796,432000,-204.29212951660156
1701784297.7783797,433000,-204.29212951660156
1701784301.5803802,434000,-204.29212951660156
1701784305.5293806,435000,-204.29212951660156
1701784309.441383,436000,-204.29212951660156
1701784313.2833788,437000,-204.29212951660156
1701784317.0063818,438000,-204.29212951660156
1701784320.960379,439000,-204.29212951660156
1701784324.6723802,440000,-204.29212951660156
1701784335.1113808,441000,172.28321838378906
1701784340.0063808,442000,172.28321838378906
1701784345.0173802,443000,172.28321838378906
1701784350.47638,444000,172.28321838378906
1701784355.41638,445000,172.28321838378906
1701784361.5353804,446000,172.28321838378906
1701784366.7233799,447000,172.28321838378906
1701784371.9213817,448000,172.28321838378906
1701784377.21238,449000,172.28321838378906
1701784382.4303799,450000,172.28321838378906
1701784391.7773795,451000,-244.3662109375
1701784395.59838,452000,-244.3662109375
1701784399.5803144,453000,-244.3662109375
1701784403.2963152,454000,-244.3662109375
1701784407.4623134,455000,-244.3662109375
1701784411.3203154,456000,-244.3662109375
1701784415.2633145,457000,-244.3662109375
1701784419.0443144,458000,-244.3662109375
1701784422.9233155,459000,-244.3662109375
1701784427.076315,460000,-244.3662109375
1701784436.2703154,461000,-186.3341064453125
1701784440.2443144,462000,-186.3341064453125
1701784444.211317,463000,-186.3341064453125
1701784448.1983147,464000,-186.3341064453125
1701784452.442315,465000,-186.3341064453125
1701784456.5903153,466000,-186.3341064453125
1701784460.4153135,467000,-186.3341064453125
1701784464.395317,468000,-186.3341064453125
1701784468.3343148,469000,-186.3341064453125
1701784472.6843154,470000,-186.3341064453125
1701784476.6033137,471000,-186.3341064453125
1701784485.7523136,472000,-281.7745361328125
1701784489.1653147,473000,-281.7745361328125
1701784492.9193163,474000,-281.7745361328125
1701784496.5993156,475000,-281.7745361328125
1701784500.382315,476000,-281.7745361328125
1701784503.9243147,477000,-281.7745361328125
1701784507.5093172,478000,-281.7745361328125
1701784511.1963174,479000,-281.7745361328125
1701784514.7933154,480000,-281.7745361328125
1701784518.3273144,481000,-281.7745361328125
1701784526.704314,482000,-420.5766296386719
1701784529.8483148,483000,-420.5766296386719
1701784532.7673151,484000,-420.5766296386719
1701784535.9263146,485000,-420.5766296386719
1701784539.0483153,486000,-420.5766296386719
1701784542.1413164,487000,-420.5766296386719
1701784545.3243144,488000,-420.5766296386719
1701784548.2593162,489000,-420.5766296386719
1701784551.4293165,490000,-420.5766296386719
1701784554.5203133,491000,-420.5766296386719
1701784560.7883155,492000,-935.5431518554688
